Date,Opponent,Result,Game Time,Attendance,Year,Team_Code
12/5/20,22 Tulsa,L 6-19,3:16,0,2020,726
12/12/20,@ Army,L 0-15,3:02,"12,722",2020,726
9/26/20,@ 23 Liberty,L 34-36,3:19,"1,000",2020,231
10/10/20,Middle Tenn. St.,L 28-31,3:31,"2,213",2020,231
10/23/20,Jacksonville St.,L 10-19,3:00,"1,041",2020,231
11/13/20,Fla. Atlantic,L 19-38,3:26,"1,512",2020,231
11/21/20,@ Western Ky.,L 21-38,3:14,"3,823",2020,231
9/12/20,Citadel,W 27-6,3:07,0,2020,651
9/19/20,@ 4 Notre Dame,L 0-52,3:07,"10,085",2020,651
10/3/20,@ 6 Cincinnati,L 7-28,3:15,0,2020,651
10/10/20,East Caro.,L 24-44,3:10,"6,799",2020,651
10/17/20,@ Temple,L 37-39,3:32,782,2020,651
10/23/20,22 Tulsa,L 13-42,3:25,"5,142",2020,651
11/7/20,@ Memphis,L 33-34,3:14,"10,300",2020,651
11/14/20,@ Houston,L 21-56,3:22,"8,266",2020,651
11/27/20,UCF,L 46-58,4:13,"8,801",2020,651
9/12/20,@ Louisville,L 21-35,3:03,"11,179",2020,772
9/19/20,23 Liberty,L 24-30,3:14,"4,276",2020,772
10/3/20,@ Middle Tenn. St.,W 20-17,3:03,"6,500",2020,772
10/10/20,Marshall,L 14-38,2:57,"4,428",2020,772
10/17/20,@ UAB,L 14-37,3:55,"11,098",2020,772
10/24/20,Chattanooga,W 13-10,2:51,"3,905",2020,772
10/31/20,@ 13 Brigham Young,L 10-41,3:18,"6,843",2020,772
11/7/20,@ Fla. Atlantic,L 6-10,2:53,"5,292",2020,772
11/14/20,Southern Miss.,W 10-7,3:03,"3,815",2020,772
11/21/20,Florida Int'l,W 38-21,3:14,"3,823",2020,772
12/6/20,@ Charlotte,W 37-19,3:13,714,2020,772
12/26/20,#NAME?,L 21-39,3:26,"5,128",2020,772
9/12/20,@ Kansas,W 38-23,3:28,,2020,149
9/18/20,Campbell,W 43-21,3:19,"5,000",2020,149
10/3/20,Arkansas St.,W 52-23,3:35,"5,000",2020,149
10/14/20,@ 16 La.-Lafayette,W 30-27,3:21,"5,585",2020,149
10/24/20,Ga. Southern,W 28-14,3:20,"5,000",2020,149
10/31/20,@ Georgia St.,W 51-0,2:53,"3,642",2020,149
11/7/20,South Ala.,W 23-6,3:06,"5,000",2020,149
11/21/20,Appalachian St.,W 34-23,3:35,"5,000",2020,149
11/28/20,@ Texas St.,W 49-14,2:50,"3,245",2020,149
12/5/20,13 Brigham Young,W 22-17,3:20,"5,000",2020,149
12/12/20,@ Troy,W 42-38,3:30,"11,000",2020,149
12/26/20,+ 23 Liberty,L 34-37,3:49,"4,488",2020,149
10/8/20,Tulane,W 49-31,3:51,"8,164",2020,288
10/16/20,13 Brigham Young,L 26-43,3:43,"10,092",2020,288
10/24/20,@ Navy,W 37-21,3:32,"3,600",2020,288
10/31/20,UCF,L 21-44,3:39,"8,630",2020,288
11/7/20,@ 6 Cincinnati,L 10-38,3:16,0,2020,288
11/14/20,South Fla.,W 56-21,3:22,"8,266",2020,288
12/12/20,@ Memphis,L 27-30,3:25,"9,475",2020,288
12/24/20,#NAME?,L 14-28,3:23,"2,060",2020,288
10/24/20,Middle Tenn. St.,L 34-40,3:51,0,2020,574
10/31/20,@ Southern Miss.,W 30-6,2:59,0,2020,574
11/21/20,@ North Texas,L 17-27,3:04,"5,976",2020,574
12/5/20,@ Marshall,W 20-0,3:00,"10,429",2020,574
12/12/20,UAB,L 16-21,3:13,"2,000",2020,574
9/19/20,@ Middle Tenn. St.,W 47-14,3:23,"6,000",2020,716
9/26/20,@ 13 Brigham Young,L 7-48,3:09,,2020,716
10/10/20,Texas St.,W 37-17,3:25,"10,500",2020,716
10/17/20,Eastern Ky.,W 31-29,3:37,"10,500",2020,716
10/24/20,Georgia St.,L 34-36,3:40,"12,000",2020,716
10/31/20,@ Arkansas St.,W 38-10,3:15,"6,757",2020,716
11/7/20,@ Ga. Southern,L 13-20,3:15,"5,012",2020,716
11/21/20,Middle Tenn. St.,L 17-20,2:51,"12,000",2020,716
11/28/20,@ Appalachian St.,L 10-47,3:06,"2,170",2020,716
12/5/20,@ South Ala.,W 29-0,2:52,"5,375",2020,716
12/12/20,9 Coastal Caro.,L 38-42,3:30,"11,000",2020,716
10/24/20,Hawaii,L 19-34,3:15,0,2020,96
10/29/20,Colorado St.,W 38-17,3:25,0,2020,96
11/7/20,@ UNLV,W 40-27,3:36,"2,000",2020,96
11/14/20,@ Utah St.,W 35-16,3:13,0,2020,96
12/5/20,@ Nevada,L 26-37,3:56,50,2020,96
12/12/20,#NAME?,L 39-49,3:23,0,2020,96
9/26/20,Vanderbilt,W 17-12,3:08,"24,073",2020,697
10/3/20,@ 1 Alabama,L 24-52,3:18,"19,424",2020,697
10/10/20,10 Florida,W 41-38,3:22,"24,709",2020,697
10/17/20,@ Mississippi St.,W 28-14,3:05,"13,142",2020,697
10/31/20,Arkansas,W 42-31,3:22,"27,114",2020,697
11/7/20,@ South Carolina,W 48-3,3:04,"16,253",2020,697
11/28/20,LSU,W 20-7,3:50,"23,607",2020,697
12/5/20,@ Auburn,W 31-20,2:58,"17,490",2020,697
12/19/20,@ Tennessee,W 34-13,3:06,"22,645",2020,697
1/2/21,+ 14 North Carolina,W 41-27,3:29,"13,737",2020,697
9/10/20,UAB,W 31-14,3:21,"8,153",2020,415
9/19/20,@ Louisville,W 47-34,3:38,"12,120",2020,415
9/26/20,Florida St.,W 52-10,3:36,"12,806",2020,415
10/10/20,@ 2 Clemson,L 17-42,3:35,"18,885",2020,415
10/17/20,Pittsburgh,W 31-19,3:16,"9,000",2020,415
10/24/20,Virginia,W 19-14,3:20,"9,940",2020,415
11/6/20,@ 24 North Carolina St.,W 44-41,3:40,"4,032",2020,415
11/14/20,@ Virginia Tech,W 25-24,3:25,"1,000",2020,415
12/5/20,@ Duke,W 48-0,3:01,0,2020,415
12/12/20,14 North Carolina,L 26-62,3:27,"12,092",2020,415
12/29/20,#NAME?,L 34-37,3:39,0,2020,415
9/26/20,@ Arkansas,W 37-10,3:44,"16,500",2020,257
10/3/20,Auburn,W 27-6,3:21,"20,524",2020,257
10/10/20,Tennessee,W 44-21,3:33,"20,524",2020,257
10/17/20,@ 1 Alabama,L 24-41,3:22,"19,424",2020,257
10/31/20,@ Kentucky,W 14-3,2:56,"12,000",2020,257
11/7/20,+ 10 Florida,L 28-44,3:43,"19,210",2020,257
11/21/20,Mississippi St.,W 31-24,3:04,"20,524",2020,257
11/28/20,@ South Carolina,W 45-16,2:56,"16,444",2020,257
12/12/20,@ Missouri,W 49-14,3:11,"10,830",2020,257
1/1/21,+ 6 Cincinnati,W 24-21,3:39,"15,301",2020,257
9/12/20,Houston Baptist,W 35-33,3:45,"11,157",2020,700
9/26/20,20 Texas,L 56-63,4:25,"16,615",2020,700
10/3/20,@ Kansas St.,L 21-31,3:26,"10,932",2020,700
10/10/20,@ 12 Iowa St.,L 15-31,3:19,"13,502",2020,700
10/24/20,West Virginia,W 34-27,3:15,"13,532",2020,700
10/31/20,8 Oklahoma,L 28-62,3:41,"14,431",2020,700
11/7/20,@ TCU,L 18-34,3:31,"12,356",2020,700
11/14/20,Baylor,W 24-23,3:25,"12,914",2020,700
11/28/20,@ Oklahoma St.,L 44-50,3:34,"14,645",2020,700
12/5/20,Kansas,W 16-13,3:20,"9,877",2020,700
10/24/20,@ Nevada,L 34-37,4:11,250,2020,811
10/30/20,Hawaii,W 31-7,3:16,"6,232",2020,811
11/5/20,@ Colorado St.,L 24-34,3:27,0,2020,811
11/27/20,@ UNLV,W 45-14,3:16,0,2020,811
12/5/20,#NAME?,L 16-17,3:19,250,2020,811
12/12/20,Boise St.,L 9-17,3:19,"2,978",2020,811
9/12/20,@ 12 Iowa St.,W 31-14,3:16,0,2020,671
9/19/20,@ Georgia St.,W 34-31,3:43,"4,126",2020,671
9/26/20,Ga. Southern,W 20-18,3:19,"5,585",2020,671
10/14/20,9 Coastal Caro.,L 27-30,3:21,"5,585",2020,671
10/23/20,@ UAB,W 24-20,3:29,"11,610",2020,671
10/31/20,@ Texas St.,W 44-34,3:33,"7,500",2020,671
11/7/20,Arkansas St.,W 27-20,3:22,"5,585",2020,671
11/14/20,South Ala.,W 38-10,3:09,"5,585",2020,671
11/28/20,@ La.-Monroe,W 70-20,3:13,"3,132",2020,671
12/4/20,@ Appalachian St.,W 24-21,3:22,"2,170",2020,671
12/26/20,#NAME?,W 31-24,3:19,"3,512",2020,671
11/4/20,Ohio,W 30-27,3:32,757,2020,129
11/11/20,@ Northern Ill.,W 40-10,3:23,419,2020,129
11/18/20,Western Mich.,L 44-52,3:42,0,2020,129
11/27/20,@ Eastern Mich.,W 31-23,3:43,300,2020,129
12/5/20,Ball St.,L 20-45,3:13,0,2020,129
12/12/20,@ Toledo,L 23-24,3:17,0,2020,129
10/24/20,Rutgers,L 27-38,3:31,376,2020,416
10/31/20,@ Michigan,W 27-24,3:40,615,2020,416
11/7/20,@ 17 Iowa,L 7-49,3:20,"1,441",2020,416
11/14/20,7 Indiana,L 0-24,3:11,340,2020,416
11/28/20,15 Northwestern,W 29-20,3:39,0,2020,416
12/5/20,3 Ohio St.,L 12-52,3:39,0,2020,416
12/12/20,@ Penn St.,L 24-39,3:25,0,2020,416
9/5/20,Southern Methodist,L 24-31,3:41,"7,500",2020,670
9/12/20,UTSA,L 48-51,6:35,"7,500",2020,670
9/19/20,@ La.-Monroe,W 38-17,3:23,"5,816",2020,670
9/26/20,@ Boston College,L 21-24,3:15,0,2020,670
10/10/20,@ Troy,L 17-37,3:25,"10,500",2020,670
10/17/20,@ South Ala.,L 20-30,3:29,"5,142",2020,670
10/24/20,@ 13 Brigham Young,L 14-52,3:12,"6,570",2020,670
10/31/20,16 La.-Lafayette,L 34-44,3:33,"7,500",2020,670
11/7/20,Appalachian St.,L 17-38,3:06,"6,745",2020,670
11/14/20,@ Ga. Southern,L 38-40,3:11,"4,478",2020,670
11/21/20,Arkansas St.,W 47-45,3:32,"5,218",2020,670
11/28/20,9 Coastal Caro.,L 14-49,2:50,"3,245",2020,670
9/26/20,Kansas,W 47-14,3:33,"11,667",2020,51
10/3/20,@ West Virginia,L 21-27,4:02,978,2020,51
10/24/20,@ 20 Texas,L 16-27,3:19,"18,202",2020,51
10/31/20,TCU,L 23-33,3:32,"11,667",2020,51
11/7/20,@ 12 Iowa St.,L 31-38,3:20,"13,535",2020,51
11/14/20,@ Texas Tech,L 23-24,3:25,"12,914",2020,51
11/28/20,Kansas St.,W 32-31,3:22,"11,667",2020,51
12/5/20,@ 8 Oklahoma,L 14-27,3:31,"22,700",2020,51
12/12/20,Oklahoma St.,L 3-42,3:19,"11,667",2020,51
11/7/20,@ 25 Oregon,L 14-35,3:13,0,2020,674
11/14/20,Colorado,L 32-35,3:37,0,2020,674
11/27/20,@ California,W 24-23,3:16,0,2020,674
12/5/20,@ Washington,W 31-26,3:12,278,2020,674
12/12/20,@ Oregon St.,W 27-24,3:15,0,2020,674
12/19/20,@ UCLA,W 48-47,3:48,0,2020,674
10/24/20,@ Fresno St.,W 34-19,3:15,0,2020,277
10/30/20,@ Wyoming,L 7-31,3:16,"6,232",2020,277
11/7/20,New Mexico,W 39-33,3:22,0,2020,277
11/14/20,@ San Diego St.,L 10-34,2:54,0,2020,277
11/21/20,Boise St.,L 32-40,3:46,0,2020,277
11/28/20,Nevada,W 24-21,2:54,0,2020,277
12/5/20,19 San Jose St.,L 24-35,3:17,0,2020,277
12/12/20,UNLV,W 38-21,3:30,0,2020,277
12/24/20,#NAME?,W 28-14,3:23,"2,060",2020,277
11/7/20,Stanford,W 35-14,3:13,0,2020,529
11/14/20,@ Washington St.,W 43-29,3:35,0,2020,529
11/21/20,UCLA,W 38-35,3:30,0,2020,529
11/27/20,@ Oregon St.,L 38-41,3:45,0,2020,529
12/5/20,@ California,L 17-21,3:17,0,2020,529
12/18/20,@ 21 Southern California,W 31-24,3:35,1,2020,529
1/2/21,+ 12 Iowa St.,L 17-34,3:22,0,2020,529
9/12/20,Western Ky.,W 35-21,3:03,"11,179",2020,367
9/19/20,18 Miami (Fla.),L 34-47,3:38,"12,120",2020,367
9/26/20,@ Pittsburgh,L 20-23,3:24,0,2020,367
10/9/20,@ Georgia Tech,L 27-46,3:32,"11,000",2020,367
10/17/20,@ 4 Notre Dame,L 7-12,2:53,"10,182",2020,367
10/24/20,Florida St.,W 48-16,3:31,"11,465",2020,367
10/31/20,Virginia Tech,L 35-42,3:01,"11,901",2020,367
11/14/20,@ Virginia,L 17-31,3:09,"1,000",2020,367
11/20/20,Syracuse,W 30-0,3:09,"11,192",2020,367
11/28/20,@ Boston College,L 27-34,3:07,0,2020,367
12/12/20,Wake Forest,W 45-21,3:16,"10,959",2020,367
9/12/20,@ Florida St.,W 16-13,5:02,"17,538",2020,255
9/19/20,UCF,L 21-49,3:50,"11,000",2020,255
9/26/20,@ Syracuse,L 20-37,3:30,0,2020,255
10/9/20,Louisville,W 46-27,3:32,"11,000",2020,255
10/17/20,2 Clemson,L 7-73,3:22,"11,000",2020,255
10/24/20,@ Boston College,L 27-48,3:22,0,2020,255
10/31/20,4 Notre Dame,L 13-31,3:10,"11,000",2020,255
11/28/20,Duke,W 56-33,3:48,"11,000",2020,255
12/5/20,@ 24 North Carolina St.,L 13-23,3:21,"4,032",2020,255
12/10/20,Pittsburgh,L 20-34,3:34,"11,000",2020,255
10/3/20,Charlotte,W 21-17,3:20,"5,657",2020,229
10/24/20,@ Marshall,L 9-20,3:11,"12,002",2020,229
10/31/20,UTSA,W 24-3,3:18,"5,026",2020,229
11/7/20,Western Ky.,W 10-6,2:53,"5,292",2020,229
11/13/20,@ Florida Int'l,W 38-19,3:26,"1,512",2020,229
11/20/20,Massachusetts,W 24-2,3:11,"5,554",2020,229
12/5/20,@ Ga. Southern,L 3-20,3:55,"3,867",2020,229
12/10/20,@ Southern Miss.,L 31-45,3:40,0,2020,229
12/23/20,#NAME?,L 10-25,3:15,"2,979",2020,229
10/24/20,UNLV,W 34-6,3:33,0,2020,626
10/31/20,@ Utah St.,W 38-7,3:12,"5,116",2020,626
11/6/20,+ 19 San Jose St.,L 17-28,3:19,0,2020,626
11/14/20,Hawaii,W 34-10,2:54,0,2020,626
11/21/20,@ Nevada,L 21-26,2:35,50,2020,626
11/28/20,@ Colorado,L 10-20,3:17,0,2020,626
12/5/20,Colorado St.,W 29-17,3:07,0,2020,626
12/12/20,@ 13 Brigham Young,L 14-28,3:06,"1,099",2020,626
11/4/20,Bowling Green,W 38-3,3:34,0,2020,709
11/11/20,@ Western Mich.,L 38-41,4:00,839,2020,709
11/18/20,@ Eastern Mich.,W 45-28,3:37,300,2020,709
11/28/20,Ball St.,L 24-27,3:38,0,2020,709
12/5/20,@ Northern Ill.,W 41-24,3:25,0,2020,709
12/12/20,Central Mich.,W 24-23,3:17,0,2020,709
10/23/20,@ Wisconsin,L 7-45,3:05,0,2020,301
10/31/20,Purdue,L 24-31,3:29,838,2020,301
11/7/20,Minnesota,L 14-41,3:30,863,2020,301
11/14/20,@ Rutgers,W 23-20,3:26,0,2020,301
11/21/20,@ Nebraska,W 41-23,3:37,0,2020,301
12/5/20,17 Iowa,L 21-35,3:19,875,2020,301
12/12/20,@ 15 Northwestern,L 10-28,3:02,0,2020,301
12/19/20,@ Penn St.,L 21-56,3:27,0,2020,301
10/24/20,Air Force,W 17-6,3:11,0,2020,630
10/31/20,New Mexico,W 38-21,3:41,0,2020,630
11/6/20,#NAME?,W 28-17,3:19,0,2020,630
11/14/20,UNLV,W 34-17,3:04,0,2020,630
12/5/20,@ Hawaii,W 35-24,3:17,0,2020,630
12/11/20,#NAME?,W 30-20,3:13,0,2020,630
12/19/20,#NAME?,W 34-20,4:02,0,2020,630
12/31/20,#NAME?,L 13-34,3:31,0,2020,630
11/4/20,Western Mich.,L 13-58,3:20,490,2020,5
11/10/20,@ Ohio,L 10-24,3:25,"1,182",2020,5
11/17/20,@ Kent St.,L 35-69,3:20,0,2020,5
11/28/20,Miami (Ohio),L 7-38,3:00,0,2020,5
12/5/20,Bowling Green,W 31-3,2:55,0,2020,5
12/12/20,@ Buffalo,L 7-56,3:14,0,2020,5
10/10/20,@ Navy,L 29-31,3:03,"4,400",2020,690
10/17/20,South Fla.,W 39-37,3:32,782,2020,690
10/24/20,@ Memphis,L 29-41,3:36,"10,321",2020,690
10/31/20,@ Tulane,L 3-38,3:00,"1,200",2020,690
11/7/20,Southern Methodist,L 23-47,3:11,"2,577",2020,690
11/14/20,@ UCF,L 13-38,3:27,"8,768",2020,690
11/21/20,East Caro.,L 3-28,2:48,0,2020,690
11/4/20,@ Central Mich.,L 27-30,3:32,757,2020,519
11/10/20,Akron,W 24-10,3:25,"1,182",2020,519
11/28/20,Bowling Green,W 52-10,3:21,"1,182",2020,519
11/7/20,UCLA,W 48-42,3:41,554,2020,157
11/14/20,@ Stanford,W 35-32,3:37,0,2020,157
11/28/20,San Diego St.,W 20-10,3:17,0,2020,157
12/5/20,@ Arizona,W 24-13,3:09,0,2020,157
12/12/20,Utah,L 21-38,3:15,0,2020,157
12/29/20,+ 20 Texas,L 23-55,3:39,"10,822",2020,157
9/26/20,12 Iowa St.,L 34-37,3:23,"11,852",2020,698
10/3/20,@ 20 Texas,W 33-31,3:58,"17,753",2020,698
10/10/20,Kansas St.,L 14-21,3:19,"12,208",2020,698
10/24/20,8 Oklahoma,L 14-33,3:29,"12,440",2020,698
10/31/20,@ Baylor,W 33-23,3:32,"11,667",2020,698
11/7/20,Texas Tech,W 34-18,3:31,"12,356",2020,698
11/14/20,@ West Virginia,L 6-24,3:00,"11,111",2020,698
11/28/20,@ Kansas,W 59-23,3:30,,2020,698
12/5/20,Oklahoma St.,W 29-22,3:56,"12,594",2020,698
12/12/20,Louisiana Tech,W 52-10,3:14,"10,472",2020,698
9/12/20,Charlotte,W 35-20,3:32,0,2020,27
9/19/20,@ Marshall,L 7-17,3:21,"12,050",2020,27
9/26/20,Campbell,W 52-21,3:21,0,2020,27
10/22/20,Arkansas St.,W 45-17,3:26,"2,100",2020,27
10/31/20,@ La.-Monroe,W 31-13,3:03,"5,493",2020,27
11/7/20,@ Texas St.,W 38-17,3:06,"6,745",2020,27
11/14/20,Georgia St.,W 17-13,3:08,"2,170",2020,27
11/21/20,@ 9 Coastal Caro.,L 23-34,3:35,"5,000",2020,27
11/28/20,Troy,W 47-10,3:06,"2,170",2020,27
12/4/20,16 La.-Lafayette,L 21-24,3:22,"2,170",2020,27
12/12/20,@ Ga. Southern,W 34-26,3:17,"6,228",2020,27
12/21/20,#NAME?,W 56-28,3:39,"5,000",2020,27
9/12/20,Syracuse,W 31-6,3:09,0,2020,457
10/3/20,@ Boston College,W 26-22,3:33,0,2020,457
10/10/20,Virginia Tech,W 56-45,3:41,"3,535",2020,457
10/17/20,@ Florida St.,L 28-31,3:43,"18,016",2020,457
10/24/20,24 North Carolina St.,W 48-21,3:33,"3,535",2020,457
10/31/20,@ Virginia,L 41-44,3:14,"1,000",2020,457
11/7/20,@ Duke,W 56-24,3:25,0,2020,457
11/14/20,Wake Forest,W 59-53,3:39,"3,535",2020,457
11/27/20,4 Notre Dame,L 17-31,3:13,"3,535",2020,457
12/5/20,Western Caro.,W 49-9,2:54,"3,535",2020,457
12/12/20,@ 18 Miami (Fla.),W 62-26,3:27,"12,092",2020,457
1/2/21,+ 5 Texas A&M,L 27-41,3:29,"13,737",2020,457
9/19/20,@ Southern Miss.,W 31-30,3:24,0,2020,366
9/26/20,Houston Baptist,W 66-38,3:34,"7,140",2020,366
10/2/20,@ 13 Brigham Young,L 14-45,3:23,,2020,366
10/10/20,UTEP,W 21-17,3:48,"7,140",2020,366
10/17/20,Marshall,L 17-35,3:11,"7,140",2020,366
10/24/20,@ UTSA,L 26-27,3:37,"6,114",2020,366
10/31/20,UAB,W 37-34,4:06,"7,140",2020,366
12/3/20,@ North Texas,W 42-31,3:27,"6,085",2020,366
12/12/20,@ TCU,L 10-52,3:14,"10,472",2020,366
12/23/20,#NAME?,L 3-38,3:08,"3,000",2020,366
10/24/20,@ San Diego St.,L 6-34,3:33,0,2020,465
10/31/20,Nevada,L 19-37,3:19,"2,000",2020,465
11/7/20,Fresno St.,L 27-40,3:36,"2,000",2020,465
11/14/20,@ 19 San Jose St.,L 17-34,3:04,0,2020,465
11/27/20,Wyoming,L 14-45,3:16,0,2020,465
12/12/20,@ Hawaii,L 21-38,3:30,0,2020,465
11/4/20,Buffalo,L 30-49,3:37,449,2020,503
11/11/20,Central Mich.,L 10-40,3:23,419,2020,503
11/18/20,@ Ball St.,L 25-31,3:22,859,2020,503
11/28/20,@ Western Mich.,L 27-30,3:14,0,2020,503
12/5/20,Toledo,L 24-41,3:25,0,2020,503
12/12/20,@ Eastern Mich.,L 33-41,3:34,300,2020,503
9/26/20,Mississippi St.,L 34-44,3:56,"21,124",2020,365
10/3/20,@ Vanderbilt,W 41-7,3:02,"2,000",2020,365
10/10/20,@ Missouri,L 41-45,3:34,"10,013",2020,365
10/24/20,South Carolina,W 52-24,3:21,"21,855",2020,365
10/31/20,@ Auburn,L 11-48,3:14,"17,490",2020,365
11/21/20,@ Arkansas,W 27-24,3:36,"16,500",2020,365
11/28/20,@ 5 Texas A&M,L 7-20,3:50,"23,607",2020,365
12/5/20,1 Alabama,L 17-55,3:30,"22,349",2020,365
12/12/20,@ 10 Florida,W 37-34,3:50,"16,610",2020,365
12/19/20,Mississippi,W 53-48,3:58,"21,905",2020,365
9/26/20,@ South Carolina,W 31-27,3:18,"15,009",2020,694
10/3/20,Missouri,W 35-12,3:04,"21,159",2020,694
10/10/20,@ 11 Georgia,L 21-44,3:33,"20,524",2020,694
10/17/20,Kentucky,L 7-34,3:01,"22,519",2020,694
10/24/20,1 Alabama,L 17-48,3:14,"23,394",2020,694
11/7/20,@ Arkansas,L 13-24,2:59,"16,500",2020,694
11/21/20,@ Auburn,L 17-30,3:20,"17,490",2020,694
12/5/20,10 Florida,L 19-31,3:24,"22,943",2020,694
12/12/20,@ Vanderbilt,W 42-17,3:25,849,2020,694
12/19/20,5 Texas A&M,L 13-34,3:06,"22,645",2020,694
9/5/20,Houston Baptist,W 57-31,3:35,"7,611",2020,497
9/19/20,Southern Methodist,L 35-65,3:53,"8,464",2020,497
10/3/20,Southern Miss.,L 31-41,3:20,"6,490",2020,497
10/10/20,Charlotte,L 21-49,3:34,"6,864",2020,497
10/17/20,@ Middle Tenn. St.,W 52-35,3:21,"5,000",2020,497
11/21/20,Rice,W 27-17,3:04,"5,976",2020,497
11/28/20,@ UTSA,L 17-49,3:03,"5,936",2020,497
12/3/20,Louisiana Tech,L 31-42,3:27,"6,085",2020,497
12/11/20,@ UTEP,W 45-43,3:33,"5,612",2020,497
12/21/20,#NAME?,L 28-56,3:39,"5,000",2020,497
9/3/20,South Ala.,L 21-32,3:39,0,2020,664
9/19/20,Louisiana Tech,L 30-31,3:24,0,2020,664
9/26/20,Tulane,L 24-66,3:44,0,2020,664
10/3/20,@ North Texas,W 41-31,3:20,"6,490",2020,664
10/24/20,@ 23 Liberty,L 35-56,3:27,"1,000",2020,664
10/31/20,Rice,L 6-30,2:59,0,2020,664
11/7/20,North Ala.,W 24-13,3:05,0,2020,664
11/14/20,@ Western Ky.,L 7-10,3:03,"3,815",2020,664
11/21/20,UTSA,L 20-23,3:12,0,2020,664
12/10/20,Fla. Atlantic,W 45-31,3:40,0,2020,664
9/12/20,Georgia Tech,L 13-16,5:02,"17,538",2020,234
9/26/20,@ 18 Miami (Fla.),L 10-52,3:36,"12,806",2020,234
10/3/20,Jacksonville St.,W 41-24,3:42,"13,589",2020,234
10/10/20,@ 4 Notre Dame,L 26-42,3:20,"10,409",2020,234
10/17/20,14 North Carolina,W 31-28,3:43,"18,016",2020,234
10/24/20,@ Louisville,L 16-48,3:31,"11,465",2020,234
11/7/20,Pittsburgh,L 17-41,3:36,"16,568",2020,234
11/14/20,@ 24 North Carolina St.,L 22-38,3:20,"4,032",2020,234
12/12/20,Duke,W 56-35,3:39,"14,872",2020,234
10/24/20,Utah St.,W 42-13,3:14,0,2020,66
10/31/20,@ Air Force,W 49-30,3:14,500,2020,66
11/6/20,13 Brigham Young,L 17-51,3:21,"1,100",2020,66
11/12/20,Colorado St.,W 52-21,3:27,"1,100",2020,66
11/21/20,@ Hawaii,W 40-32,3:46,0,2020,66
12/12/20,@ Wyoming,W 17-9,3:19,"2,978",2020,66
12/19/20,+ 19 San Jose St.,L 20-34,4:02,0,2020,66
11/14/20,Oregon St.,W 27-21,3:23,294,2020,756
11/21/20,Arizona,W 44-27,3:36,253,2020,756
11/28/20,Utah,W 24-21,3:13,259,2020,756
12/5/20,Stanford,L 26-31,3:12,278,2020,756
11/4/20,@ Toledo,L 3-38,3:34,0,2020,71
11/10/20,Kent St.,L 24-62,3:45,"1,500",2020,71
11/17/20,Buffalo,L 17-42,3:08,"1,500",2020,71
11/28/20,@ Ohio,L 10-52,3:21,"1,182",2020,71
12/5/20,@ Akron,L 3-31,2:55,0,2020,71
9/19/20,@ Western Ky.,W 30-24,3:14,"4,276",2020,355
9/26/20,Florida Int'l,W 36-34,3:19,"1,000",2020,355
10/3/20,North Ala.,W 28-7,2:53,"1,000",2020,355
10/10/20,La.-Monroe,W 40-7,3:10,"1,000",2020,355
10/17/20,@ Syracuse,W 38-21,3:08,0,2020,355
10/24/20,Southern Miss.,W 56-35,3:27,"1,000",2020,355
11/7/20,@ Virginia Tech,W 38-35,3:22,"1,000",2020,355
11/14/20,Western Caro.,W 58-14,3:17,"1,000",2020,355
11/21/20,@ 24 North Carolina St.,L 14-15,3:20,"4,032",2020,355
11/27/20,Massachusetts,W 45-0,2:55,250,2020,355
12/26/20,+ 9 Coastal Caro.,W 37-34,3:49,"4,488",2020,355
11/4/20,@ Northern Ill.,W 49-30,3:37,449,2020,86
11/10/20,Miami (Ohio),W 42-10,3:22,0,2020,86
11/17/20,@ Bowling Green,W 42-17,3:08,"1,500",2020,86
11/28/20,Kent St.,W 70-41,3:43,0,2020,86
12/12/20,Akron,W 56-7,3:14,0,2020,86
12/18/20,#NAME?,L 28-38,3:25,0,2020,86
12/25/20,#NAME?,W 17-10,3:10,"2,512",2020,86
10/23/20,Illinois,W 45-7,3:05,0,2020,796
11/14/20,@ Michigan,W 49-11,3:20,605,2020,796
11/21/20,@ 15 Northwestern,L 7-17,3:28,1,2020,796
12/5/20,7 Indiana,L 6-14,3:09,0,2020,796
12/12/20,@ 17 Iowa,L 7-28,3:16,"1,445",2020,796
12/19/20,Minnesota,W 20-17,3:23,0,2020,796
12/30/20,#NAME?,W 42-28,3:37,"1,500",2020,796
9/5/20,@ Texas St.,W 31-24,3:41,"7,500",2020,663
9/19/20,@ North Texas,W 65-35,3:53,"8,464",2020,663
9/26/20,Stephen F. Austin,W 50-7,3:05,"7,898",2020,663
10/3/20,Memphis,W 30-27,3:31,"7,898",2020,663
10/16/20,@ Tulane,W 37-34,3:45,0,2020,663
10/24/20,6 Cincinnati,L 13-42,3:25,"7,898",2020,663
10/31/20,Navy,W 51-37,3:22,"7,898",2020,663
11/7/20,@ Temple,W 47-23,3:11,"2,577",2020,663
11/14/20,@ 22 Tulsa,L 24-28,3:38,"3,900",2020,663
11/28/20,@ East Caro.,L 38-52,3:31,"3,500",2020,663
10/24/20,@ Boise St.,L 13-42,3:14,0,2020,731
10/31/20,San Diego St.,L 7-38,3:12,"5,116",2020,731
11/5/20,@ Nevada,L 9-34,3:27,250,2020,731
11/14/20,Fresno St.,L 16-35,3:13,0,2020,731
11/26/20,New Mexico,W 41-27,3:40,198,2020,731
