Game Code,Attendance,Duration
0732005120230909,43732,206
0664023420230909,74467,214
0497023120230909,15760,214
0261036520230909,97735,215
0346049820230909,13155,169
0288057420230909,23425,238
0047025720230909,92746,188
0575041620230909,70049,191
0061041520230914,40077,178
0726040420230914,25551,209
0725070620230915,27138,195
0008065120230916,65138,246
0328046620230916,16890,191
0254045820230916,14410,212
0739012820230916,44206,194
0683003020230916,14327,178
0311051920230916,21991,179
0646052120230916,53855,202
0648025720230916,92746,192
0522071920230916,30855,201
0772051820230916,100217,214
0355008620230916,13020,212
1395070020230916,56200,195
0327043420230916,62621,208
0553066320230916,24489,190
0671000920230916,21673,311
0231016420230916,20405,210
0367030620230916,22840,182
0539030120230916,49099,237
0811070320230916,101777,191
0774031220230916,69250,231
0699057420230916,18103,213
0509019320230916,18141,172
0361005120230916,43732,284
0756041620230916,70528,226
0428045720230916,50500,193
0472047320230916,27414,174
0626052820230916,35591,185
0096002820230916,46723,208
0400020420230916,16138,202
0071041820230916,109955,182
0234006720230916,41383,213
0365043020230916,60084,197
0077003120230916,74821,220
0688055920230916,61444,214
0129051320230916,77622,201
0749052320230916,18276,216
0277052920230916,52779,210
0742058720230916,52657,194
0314067020230916,24118,220
0454041920230916,16605,191
0497036620230916,17434,222
0741049020230916,56919,173
0194014920230916,18116,194
0295010720230916,36810,199
0317071620230916,26634,208
0253079620230916,75612,197
0758073220230916,51532,174
0005033420230916,59456,191
0718066420230916,25038,186
0704002920230916,44182,191
0102067420230916,23848,196
0694023520230916,90751,209
0156015720230916,53141,244
0545076820230916,61106,199
0736046520230916,22582,226
0196002720230916,40168,234
0489011020230916,38343,173
0498069720230916,93091,179
0414014020230916,38193,95
0255043320230916,64150,212
0698028820230916,36049,210
0485069020230916,10932,194
0229014720230916,81295,202
0503046320230916,86876,199
0625003720230916,88043,186
0502075420230916,23594,194
0254014920230921,15248,230
0490074620230922,42979,219
0703005120230923,49165,186
0428050920230923,20148,219
0086067120230923,17674,235
0156041920230923,19807,197
0457054520230923,48544,207
0129064620230923,18369,192
0404043420230923,45085,201
0742038820230923,31475,205
0204031520230923,20966,186
0234014720230923,81500,210
0700076820230923,50071,221
0067036720230923,48294,188
0483071820230923,22842,185
0029067420230923,38046,193
0719050320230923,10321,197
0664003020230923,16601,203
0317073120230923,19994,223
0473040020230923,8298,202
0107075620230923,69107,204
0128032720230923,51912,206
0199052320230923,16939,213
0624028820230923,35044,201
0521031120230923,59022,206
0334073620230923,26279,217
1092019620230923,40589,200
0157052920230923,59889,213
0574065120230923,29141,215
0518051320230923,77622,196
0528075420230923,33111,208
0312053920230923,110830,185
0706069420230923,101915,202
0472027720230923,10254,173
0522014020230923,38193,199
0433000820230923,100077,184
0005030620230923,44968,229
0009025720230923,92746,203
0587041820230923,109756,171
0110073220230923,52919,189
0725068820230923,37594,193
0366046320230923,87115,253
0663069820230923,51243,190
0253004720230923,10118,197
0465070420230923,28042,202
0031036520230923,99648,200
0772071620230923,26124,213
0077032820230923,47233,194
0255074920230923,31865,205
0415069020230923,17234,196
0392041620230923,70131,210
0466067020230923,19257,186
0193016420230923,29038,200
0027081120230923,21169,202
0458023520230923,89053,200
0657002820230923,54166,211
0229030120230923,53512,197
0037069720230923,102530,209
0430064820230923,78311,196
0419077220230928,14712,217
0690071920230928,17538,203
0140007720230929,63834,206
0366070420230929,9101,219
0367049020230929,56919,203
0732052820230929,37372,197
0539050920230930,25064,197
0545074220230930,65632,200
0670066420230930,21304,226
0651072620230930,29789,210
0697003120230930,59437,202
0458066320230930,25385,206
0328070320230930,102986,183
0196057420230930,19598,224
0071025520230930,30097,202
0657015720230930,54032,215
0288070020230930,53308,132
0716025420230930,16536,192
0746006720230930,41868,206
0523038820230930,22652,200
0027049820230930,19919,201
0306039220230930,38181,198
0529067420230930,32160,177
0748058720230930,40165,184
0768069820230930,43736,226
0513019320230930,40768,201
0147068820230930,40974,208
0235033420230930,61699,185
0030040020230930,9494,206
0418046320230930,87134,179
0646031720230930,26064,229
0416031220230930,69250,212
0051012820230930,44005,208
0066040420230930,30364,198
0257003720230930,88043,187
0434073620230930,26332,199
0008043020230930,60111,191
0149025320230930,26483,224
0731016420230930,21227,205
0028010720230930,34353,206
0756002920230930,50800,193
0301055920230930,59510,217
0311052220230930,84371,213
0365043320230930,66703,231
0648069420230930,101915,207
0009071820230930,20102,213
0002049720230930,21494,204
0671042820230930,46843,186
0315041920231004,13066,217
0624035520231005,17100,200
0772036620231005,13014,235
0327052120231006,53855,206
0688045720231007,50500,184
0719022920231007,21077,191
0392051820231007,104974,206
0157002820231007,54086,225
0774043020231007,47158,195
0030071620231007,26957,195
0749014720231007,80810,191
0008069720231007,108101,198
0418042820231007,52179,191
0786074620231007,38289,184
0700005120231007,44620,192
0164057420231007,21207,205
0528010720231007,34930,191
0128032820231007,46107,184
0670067120231007,15053,196
0559031220231007,69250,196
0651000920231007,23792,264
0523066420231007,23011,197
0742023420231007,79560,195
0522070320231007,92100,223
0290050920231007,22160,191
0365043420231007,62621,225
0067072520231007,34017,196
0646049820231007,12099,183
0497072620231007,28648,189
0388049020231007,56919,239
0513036720231007,59081,202
0255041520231007,58045,225
0031043320231007,65748,191
0706069020231007,18388,219
0736023520231007,89432,197
0709040020231007,9623,196
0587079620231007,74885,208
0754011020231007,35437,221
0698031120231007,60535,182
0334025720231007,92746,202
0366041920231010,9602,205
0355031520231010,21745,192
0149002720231010,34252,208
0704023120231011,14872,205
0624047220231011,12812,216
0663019620231012,33444,218
0768028820231012,32152,215
0718040420231013,35609,202
0674015720231013,53154,241
0726045820231014,15659,191
0009070620231014,23808,218
0031000820231014,100077,194
0029075420231014,26155,182
0253031720231014,25097,207
0037036520231014,102321,197
0498067020231014,27537,205
0311014020231014,38193,184
0690049720231014,13678,208
0235064820231014,79247,221
0301039220231014,35580,209
0229065120231014,36670,205
0077069820231014,44599,208
0749074220231014,65632,207
0518055920231014,57319,213
0327070020231014,56200,205
0306041820231014,110264,194
0716072520231014,27829,196
0490019320231014,31833,185
0257073620231014,28500,192
0388025420231014,16718,243
0312079620231014,76205,205
0697069420231014,101915,199
0400053920231014,105533,197
0416058720231014,52879,217
0107073220231014,52115,204
0529075620231014,71321,218
0657051320231014,77622,197
0110052820231014,37600,210
0367054520231014,46296,214
0434033420231014,61654,213
0688023420231014,79560,198
0415045720231014,50500,224
0328052120231014,53855,199
0419035520231017,16354,211
0664064620231017,23478,197
0772031520231017,17977,203
0231062420231018,7543,211
0472070420231018,19727,203
0317038820231019,22109,208
0574071920231019,18527,196
0663069020231020,11232,203
0732065720231021,61551,202
0746045720231021,50500,201
0648043420231021,62621,195
0796030120231021,54205,215
0651016420231021,21704,217
0193023420231021,79560,201
0067025520231021,35656,201
0028075620231021,68379,202
0539051820231021,105506,218
0509046320231021,86769,179
0587030620231021,43611,204
0254067120231021,20044,207
0497071820231021,30000,194
0754052920231021,58886,220
0698032720231021,52580,189
0694000820231021,100077,205
0430003120231021,71505,177
0149003020231021,18228,208
0110067420231021,30225,196
0703028820231021,42820,199
0700007720231021,63523,209
0458019620231021,39842,199
0051014020231021,38193,208
0521076820231021,51870,219
0404000920231021,20269,191
0545074920231021,31855,205
0721072620231021,38803,183
0418041620231021,74206,192
0147041520231021,48562,219
0498025320231021,21068,218
0428031220231021,69250,219
0725036520231021,101776,179
0128052220231021,83477,208
0433003720231021,88043,202
0027052320231021,20017,206
0706022920231021,17241,206
0472036620231024,13798,212
0355077220231024,16036,213
0704062420231025,6889,221
0315023120231025,14074,193
0688074220231026,60236,194
0229045820231027,10857,214
0311005120231028,43528,201
0234074920231028,31288,491
0528002920231028,45023,190
0430003720231028,88043,182
0288032720231028,51928,185
0719066320231028,20800,195
0522032820231028,47233,275
0457025520231028,35945,207
0545051320231028,77622,193
0196070620231028,22629,221
0404049720231028,18062,208
0756067420231028,24380,217
0657010720231028,43716,236
0164006720231028,36902,181
0648069720231028,95297,200
0416042820231028,47392,191
0718057420231028,20436,197
0518079620231028,76453,202
